Date,State,TotalSamples,Negative,Positive
25-04-2020,Tamil Nadu,80110,69390,1821
26-04-2020,Tamil Nadu,87605,77133,1885
27-04-2020,Tamil Nadu,94781,83021,1937
28-04-2020,Tamil Nadu,101874,97908,2058
29-04-2020,Tamil Nadu,109961,105864,2162
30-04-2020,Tamil Nadu,119748,115761,2323
01-05-2020,Tamil Nadu,129363,124852,2526
02-05-2020,Tamil Nadu,139490,135698,2757
03-05-2020,Tamil Nadu,150107,145520,3023
04-05-2020,Tamil Nadu,162970,158558,3550
19-04-2020,Telangana,14962,14104,858
28-04-2020,Telangana,19063,,1009
29-04-2020,Telangana,19278,,1016
11-04-2020,Tripura,337,335,2
15-04-2020,Tripura,738,,2
16-04-2020,Tripura,762,760,2
21-04-2020,Tripura,2604,2602,2
22-04-2020,Tripura,3215,3123,2
01-05-2020,Tripura,4828,4825,3
02-05-2020,Tripura,4955,4950,5
03-05-2020,Tripura,5162,5157,5
04-05-2020,Tripura,5394,5377,17
05-04-2020,Uttar Pradesh,5255,4796,278
05-04-2020,Uttar Pradesh,5255,4796,278
09-04-2020,Uttar Pradesh,8402,7898,410
10-04-2020,Uttar Pradesh,9332,8798,433
11-04-2020,Uttar Pradesh,10595,10012,452
12-04-2020,Uttar Pradesh,11855,11250,483
13-04-2020,Uttar Pradesh,13287,12542,558
14-04-2020,Uttar Pradesh,15914,15134,660
15-04-2020,Uttar Pradesh,19506,18595,727
16-04-2020,Uttar Pradesh,21384,20374,805
17-04-2020,Uttar Pradesh,24643,23648,849
18-04-2020,Uttar Pradesh,28484,27262,974
19-04-2020,Uttar Pradesh,31767,,1100
20-04-2020,Uttar Pradesh,34326,32874,1184
21-04-2020,Uttar Pradesh,37933,36378,1337
22-04-2020,Uttar Pradesh,42192,40263,1449
23-04-2020,Uttar Pradesh,45483,43495,1510
24-04-2020,Uttar Pradesh,53166,51161,1621
25-04-2020,Uttar Pradesh,56851,54216,1793
26-04-2020,Uttar Pradesh,61799,58492,1873
27-04-2020,Uttar Pradesh,67145,64139,1896
28-04-2020,Uttar Pradesh,70307,67266,2053
29-04-2020,Uttar Pradesh,73716,70436,2134
30-04-2020,Uttar Pradesh,78013,74864,2211
01-05-2020,Uttar Pradesh,82459,79091,2328
02-05-2020,Uttar Pradesh,85729,82356,2487
03-05-2020,Uttar Pradesh,95841,91828,2645
04-05-2020,Uttar Pradesh,98300,94682,2766
02-04-2020,Uttarakhand,678,554,7
07-04-2020,Uttarakhand,1289,1092,32
09-04-2020,Uttarakhand,1531,1235,35
10-04-2020,Uttarakhand,1688,1320,35
11-04-2020,Uttarakhand,1705,1340,35
12-04-2020,Uttarakhand,1820,1452,35
13-04-2020,Uttarakhand,1998,1665,35
14-04-2020,Uttarakhand,2174,1838,35
15-04-2020,Uttarakhand,2413,2022,37
16-04-2020,Uttarakhand,2593,2210,37
17-04-2020,Uttarakhand,2831,2420,40
18-04-2020,Uttarakhand,3158,2710,42
19-04-2020,Uttarakhand,3344,3046,44
20-04-2020,Uttarakhand,3677,3228,46
21-04-2020,Uttarakhand,4061,3445,46
22-04-2020,Uttarakhand,4275,3664,46
23-04-2020,Uttarakhand,4473,3879,47
24-04-2020,Uttarakhand,4767,4239,48
25-04-2020,Uttarakhand,5194,4423,48
26-04-2020,Uttarakhand,5277,4675,50
27-04-2020,Uttarakhand,5463,4912,51
28-04-2020,Uttarakhand,5739,5212,52
29-04-2020,Uttarakhand,6046,5547,54
30-04-2020,Uttarakhand,6565,6100,57
01-05-2020,Uttarakhand,7042,6533,57
02-05-2020,Uttarakhand,7369,6786,59
03-05-2020,Uttarakhand,7578,6986,60
04-05-2020,Uttarakhand,7806,7134,60
05-05-2020,Uttarakhand,8060,7357,61
01-04-2020,West Bengal,659,568,37
04-04-2020,West Bengal,1042,,
06-04-2020,West Bengal,1301,,
07-04-2020,West Bengal,1487,,
09-04-2020,West Bengal,1889,,
10-04-2020,West Bengal,2095,,
11-04-2020,West Bengal,2286,,126
12-04-2020,West Bengal,2523,,134
13-04-2020,West Bengal,2793,,152
14-04-2020,West Bengal,3081,,190
15-04-2020,West Bengal,3470,,213
16-04-2020,West Bengal,3811,,231
17-04-2020,West Bengal,4212,,255
18-04-2020,West Bengal,4630,,287
19-04-2020,West Bengal,5045,,310
20-04-2020,West Bengal,5469,,339
21-04-2020,West Bengal,6182,,392
22-04-2020,West Bengal,7037,,423
23-04-2020,West Bengal,7990,,456
24-04-2020,West Bengal,8933,,514
25-04-2020,West Bengal,9880,,571
26-04-2020,West Bengal,10893,,611
27-04-2020,West Bengal,12043,,649
28-04-2020,West Bengal,13223,,697
29-04-2020,West Bengal,14620,,725
30-04-2020,West Bengal,16525,,758
01-05-2020,West Bengal,18566,,
02-05-2020,West Bengal,20976,,795
03-05-2020,West Bengal,22915,,922
04-05-2020,West Bengal,25116,,1259
